COUNTY_FIPS,STATE,REQUIRED_SPECIALTY,PROVIDER_COUNT,TOTAL_BENEFICIARIES,TOTAL_SERVICES
05063,AR,PULMONARY DISEASE,1,931,3018.0
05063,AR,RHEUMATOLOGY,1,276,597.0
05067,AR,CARDIOVASCULAR DISEASE (CARDIOLOGY),1,1220,4770.0
05067,AR,INTERNAL MEDICINE,2,207,547.0
05067,AR,PSYCHIATRY,4,220,1230.0
05069,AR,CARDIOVASCULAR DISEASE (CARDIOLOGY),4,2395,12511.0
05069,AR,ENDOCRINOLOGY,1,598,1192.0
05069,AR,HEMATOLOGY/ONCOLOGY,2,629,1752.0
05069,AR,INTERNAL MEDICINE,12,3576,23981.0
05069,AR,NEUROLOGY,4,1274,3449.0
05069,AR,PSYCHIATRY,1,100,1230.0
05069,AR,PULMONARY DISEASE,1,116,326.0
05069,AR,RHEUMATOLOGY,1,34,61.0
05071,AR,PSYCHIATRY,1,18,49.0
05075,AR,INTERNAL MEDICINE,4,157,400.0
05081,AR,INTERNAL MEDICINE,2,161,515.0
05083,AR,INTERNAL MEDICINE,1,225,883.0
05085,AR,INTERNAL MEDICINE,6,799,8884.0
05085,AR,PSYCHIATRY,1,0,0.0
05085,AR,RHEUMATOLOGY,1,1117,100463.0
05091,AR,PSYCHIATRY,1,182,1233.0
05093,AR,INTERNAL MEDICINE,3,1610,27283.0
05099,AR,INTERNAL MEDICINE,1,743,24439.5
