COUNTY_FIPS,STATEDESC,REQUIRED_SPECIALTY,ESTIMATED_PATIENTS,PROVIDER_COUNT,TOTAL_BENEFICIARIES,TOTAL_SERVICES,PATIENTS_PER_PROVIDER,MEDIAN_PATIENTS_PER_PROVIDER,MEAN_PATIENTS_PER_PROVIDER,GAP_RATIO,ACCESS_GAP_LEVEL,GAP_SCORE,UC05_KEY,providers_per_1000_patients,services_per_beneficiary,is_anomaly,anomaly_label,anomaly_score,anomaly_type
20091,Kansas,RHEUMATOLOGY,102501,21,7410,2037402.0,4881.0,10453.0,13315.598760659872,0.4669472878599445,LOW GAP,2.54,20091|RHEUMATOLOGY,0.2048760499897562,274.915935771151,True,-1,-0.0040284613455005,shortage_anomaly
20173,Kansas,ENDOCRINOLOGY,199985,3,2485,33544.0,66661.66666666667,18070.0,22988.768286620067,3.689079505626269,CRITICAL GAP,20.09,20173|ENDOCRINOLOGY,0.0150011250843813,13.493161705551088,True,-1,-0.0154244974961408,shortage_anomaly
22061,Louisiana,RHEUMATOLOGY,10352,1,765,194922.0,10352.0,10453.0,13315.598760659872,0.9903377020950924,MODERATE GAP,5.39,22061|RHEUMATOLOGY,0.0965996908809891,254.467362924282,True,-1,-0.0007976303265988,shortage_anomaly
22073,Louisiana,RHEUMATOLOGY,35167,1,1228,412482.0,35167.0,10453.0,13315.598760659872,3.3642973309097868,CRITICAL GAP,18.32,22073|RHEUMATOLOGY,0.028435749424176,335.6240846216436,True,-1,-0.07148861833729,shortage_anomaly
23031,Maine,RHEUMATOLOGY,50906,3,989,260346.0,16968.666666666668,10453.0,13315.598760659872,1.6233298255684174,HIGH GAP,8.84,23031|RHEUMATOLOGY,0.058932149451931,262.9757575757576,True,-1,-0.0199273758140755,shortage_anomaly
24003,Maryland,HEMATOLOGY/ONCOLOGY,36422,8,3872,1198132.0,4552.75,2055.6666666666665,2642.926682217817,2.214731636127777,CRITICAL GAP,12.06,24003|HEMATOLOGY/ONCOLOGY,0.2196474658173631,309.35502194681123,True,-1,-0.007120127331299,shortage_anomaly
24009,Maryland,RHEUMATOLOGY,18856,1,140,30995.0,18856.0,10453.0,13315.598760659872,1.8038840524251407,HIGH GAP,9.82,24009|RHEUMATOLOGY,0.0530335171828595,219.82269503546095,True,-1,-0.0134465559110557,shortage_anomaly
24033,Maryland,RHEUMATOLOGY,176292,7,3423,307940.0,25184.571428571428,10453.0,13315.598760659872,2.409315165844392,CRITICAL GAP,13.12,24033|RHEUMATOLOGY,0.0397068499988655,89.9357476635514,True,-1,-0.0094434512867166,shortage_anomaly
26017,Michigan,RHEUMATOLOGY,24289,1,124,11248.0,24289.0,10453.0,13315.598760659872,2.323639146656462,CRITICAL GAP,12.65,26017|RHEUMATOLOGY,0.0411709004075919,89.984,True,-1,-0.0052169834330737,shortage_anomaly
26099,Michigan,RHEUMATOLOGY,193819,11,2415,565939.3,17619.909090909092,10453.0,13315.598760659872,1.685631789047077,HIGH GAP,9.18,26099|RHEUMATOLOGY,0.0567539818077691,234.2463990066225,True,-1,-0.0170686550110614,shortage_anomaly
